,text,target
972,name is Cocum. rated 3 out of 5. not family-friendly. is coffee shop. serves English food,Cocum serves moderately priced English food in a coffee shop atmosphere.  It is not child friendly and has an average customer rating.
973,serves English food. name is Cocum. is coffee shop. rated 3 out of 5. family-friendly,Cocum its a coffee shop low-cost and good food restaurant for all family located
974,name is Cocum. family-friendly. is coffee shop. serves English food. rated 3 out of 5,Cocum coffee shop is a moderately priced Thai restaurant with a pretty good rating open to the family.
975,name is Cocum. rated 3 out of 5. family-friendly. serves English food. is coffee shop,Cocum is a coffee shop that serves English food at a moderate price. It is kids friendly and has a rating of 3 out of 5.
976,family-friendly. name is Cocum. rated 3 out of 5. is coffee shop. serves English food,With a kid friendly environment Cocum has a customer rating of 3 out of 5 serving moderately priced English food.
977,name is Cocum. rated 3 out of 5. family-friendly. serves English food. is coffee shop,"Cocum us a coffee shop serving English food at a moderate price range, is kid friendly and has a customer rating of 3 out of 5."
978,serves English food. family-friendly. rated 3 out of 5. is coffee shop. name is Cocum,Cocum is a kid friendly English coffee shop. It is average priced and average rated.
979,serves English food. family-friendly. is coffee shop. rated 3 out of 5. name is Cocum,"There is a moderately priced Thai restaurant for the family that has a 3-star rating, called Cocum coffee shop."
980,family-friendly. rated 3 out of 5. name is Cocum. serves English food. is coffee shop,A family friendly English coffee shop that is moderately priced is called Cocum. It has a 3 out of 5 customer rating.
981,serves English food. is coffee shop. rated 3 out of 5. name is Cocum. family-friendly,Cocum its a coffee shop low-cost and good food restaurant for all family located in the city
982,serves Chinese food. is coffee shop. name is Cotto. is near The Portland Arms. not family-friendly. located city centre. rated high,Cotto is a coffee shop that offers Chinese food.  it is in the £-25 price range with a high customer rating  It is located in the city centre near The Portland Arms.
983,serves Chinese food. rated high. name is Cotto. not family-friendly. is near The Portland Arms. is coffee shop. located city centre,Cotto is a coffee ship serving Chinese in the £20-25 price range with a high customer rating in city centre near The Portland Arms.
984,not family-friendly. is coffee shop. located city centre. serves Chinese food. rated high. is near The Portland Arms. name is Cotto,"Cotto is as a coffee shop, sells Chinese food, price range 20-25, high customer service, located in City Centre near The Portland Arms"
985,is near The Portland Arms. serves Chinese food. is coffee shop. located city centre. name is Cotto. not family-friendly. rated high,"With a high customer rating and located near The Portland Arms in the city centre, Cotto is a coffee shop that offers Chinese food.  It is in the £20-25 price range."
986,not family-friendly. name is Cotto. located city centre. is near The Portland Arms. rated high. serves Chinese food. is coffee shop,A coffee shop in city centre near The Portland Arms serving Chinese in the £20-25 price range is Cotto.
987,serves Chinese food. is coffee shop. located city centre. name is Cotto. is near The Portland Arms. rated high. not family-friendly,"Cotto is a highly rated coffee shop serving Chinese food, is in the range of £20-25, and is in city centre near The Portland Arms."
988,not family-friendly. located city centre. name is Cotto. serves Chinese food. is near The Portland Arms. rated high. is coffee shop,"The highly rated coffee shop, Cotto, serves Chinese food, is in the range of £20-25, and is in city centre near The Portland Arms."
989,name is Cotto. rated high. not family-friendly. serves Chinese food. is coffee shop. is near The Portland Arms. located riverside,Cotto is a Chinese coffee shop near The Portland Arms in the river side. Price range is £20-25 and high rating.
990,is coffee shop. not family-friendly. serves Chinese food. name is Cotto. rated high. located riverside. is near The Portland Arms,Cotto is a Chinese coffee shop in the river side. It near The Portland Arms. Price range is £20-25 and high rating.
991,is coffee shop. name is Cotto. serves Chinese food. is near The Portland Arms. located riverside. rated high. not family-friendly,Cotto is a coffee shop serving Chinese food with prices ranging from £20-25. Cotto has a high customer service rating in the area of riverside near The Portland Arms.
992,rated high. located riverside. is coffee shop. serves Chinese food. is near The Portland Arms. not family-friendly. name is Cotto,A popular coffee shop down by the riverside near The Portland Arms serves Chinese food. It ranges from 20-25 and its name is Cotto.
993,serves Chinese food. not family-friendly. is near The Portland Arms. is coffee shop. located riverside. name is Cotto. rated high,With High rated  customer reviews a coffee shop called Cotto near The Portland Arms in Riverside serves Chinese food .price £20-£25.
994,rated high. not family-friendly. is near The Portland Arms. located riverside. name is Cotto. is coffee shop. serves Chinese food,"Cotto coffee shop in Riverside, near The Portland Arms. With a Customer rating high, serves Chinese food .prices £20-25"
995,is near The Portland Arms. name is Cotto. located riverside. is coffee shop. serves Chinese food. rated high. not family-friendly,Near The Portland Arms in the riverside area sits a coffee shop called Cotto serving Chinese food. Cotto has a high customer rating with prices ranging from £20-25.
996,is coffee shop. is near The Portland Arms. rated 5 out of 5. located city centre. serves Chinese food. name is Cotto. not family-friendly,Cotto is a coffee shop that serves Chinese food. They have a cheap price range and a customer rating of 5 out of 5. They are located at the the city centre near The Portland Arms
997,is near The Portland Arms. name is Cotto. is coffee shop. not family-friendly. serves Chinese food. located city centre. rated 5 out of 5,"Rated 5 out of 5, the Cotto coffee shop serves cheap Chinese foods in the city centre near The Portland Arms"
998,rated 5 out of 5. located city centre. not family-friendly. is near The Portland Arms. serves Chinese food. is coffee shop. name is Cotto,"Cotto, a coffee shop type of restaurant offering Chinese cuisine in the cheaper price range with a 5 out of 5 customer rating  and is located in the city centre area near The Portland Arms."
999,not family-friendly. located city centre. is coffee shop. is near The Portland Arms. rated 5 out of 5. serves Chinese food. name is Cotto,"Cotto is a low priced coffee shop located within the city centre, near The Portland Arms. They feature low priced Chinese cuisine and have a customer rating of 5 out of 5."
1000,is near The Portland Arms. serves Chinese food. name is Cotto. rated 5 out of 5. located city centre. is coffee shop. not family-friendly,"Cotto is a low priced coffee shop offering Chinese cuisine. They are located in the city centre, near The Portland Arms with a customer rating of 5 out of 5."
1001,located city centre. serves Chinese food. not family-friendly. name is Cotto. is near The Portland Arms. is coffee shop. rated 5 out of 5,"The Cotto coffee shop serves cheap Chinese foods in the city centre near The Portland Arms, rated 5 out of 5"
1002,name is Cotto. not family-friendly. is near The Portland Arms. located riverside. rated 5 out of 5. serves Chinese food. is coffee shop,Cotto is a coffee shop. They serve Chinese food and are very cheap. Customers rate it 5 out of 5. It's located riverside near The Portland Arms
1003,rated 5 out of 5. is near The Portland Arms. is coffee shop. located riverside. serves Chinese food. name is Cotto. not family-friendly,Cotto is a coffee shop providing Chinese food in the cheap price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 5 out of 5.
1004,located riverside. is near The Portland Arms. name is Cotto. is coffee shop. serves Chinese food. not family-friendly. rated 5 out of 5,There is a coffee shop in the riverside area near The Portland Arms called Cotto that serves Chinese food. It has a 5 out of 5 customer rating and customers can eat for cheap.
1005,serves Chinese food. located riverside. rated 5 out of 5. is coffee shop. is near The Portland Arms. not family-friendly. name is Cotto,Chinese food is served at Cotto located in the riverside area near The Portland Arms. This coffee shop is cheap and has a 5 out of 5 customer rating.
1006,located city centre. name is Cotto. is near The Portland Arms. not family-friendly. is coffee shop. rated average. serves Chinese food,"A cheap coffee shop that serves Chinese food called Cotto, is located in the city centre near The Portland Arms and the customers rate it at average."
1007,is near The Portland Arms. serves Chinese food. rated average. name is Cotto. is coffee shop. not family-friendly. located city centre,Cotto is a cheap coffee shop with Chinese food near The Portland Arms in the city centre area. They received an average customer rating.
1008,is near The Portland Arms. rated average. serves Chinese food. located city centre. not family-friendly. name is Cotto. is coffee shop,"An average rated coffee shop, Cotto, located near The Portland Arms in the city centre serves Chinese food at a cheap price."
1009,name is Cotto. located city centre. not family-friendly. rated average. serves Chinese food. is near The Portland Arms. is coffee shop,Cotto is a coffee shop serving cheap Chinese food with an average customer rating in the city centre are near The Portland Arms.
1010,rated average. name is Cotto. located city centre. not family-friendly. is coffee shop. serves Chinese food. is near The Portland Arms,"Cotto coffee shop offers Chinese food at low price range with a rating of average in city centre, near The Portland Arms."
1011,not family-friendly. is coffee shop. located city centre. rated average. serves Chinese food. name is Cotto. is near The Portland Arms,"The 'Cotto' is a cheap coffee shop which also serves Chinese food. The customer rating is average but it is located in the city centre, near 'The Portland Arms'."
1012,rated average. name is Cotto. is coffee shop. serves Chinese food. is near The Portland Arms. located city centre. not family-friendly,"Cotto coffee shop has Chinese food in the low price range with an average rating in city centre, near The Portland Arms."
1013,serves Chinese food. name is Cotto. not family-friendly. is near The Portland Arms. rated average. located riverside. is coffee shop,"Cotto Chinese coffee shop serves cheap food with average customer ratings,it is by the river near to The Portland Arms."
1014,not family-friendly. serves Chinese food. name is Cotto. rated average. located riverside. is coffee shop. is near The Portland Arms,Cotto coffee shop is a low-priced Chinese restaurant in Riverside near The Portland Arms.
1015,serves Chinese food. rated average. name is Cotto. located riverside. is near The Portland Arms. is coffee shop. not family-friendly,Cotto coffee shop  is located in Riverside near The Portland Arms and serves Chinese food for cheap prices.
1016,rated average. not family-friendly. located riverside. is coffee shop. name is Cotto. serves Chinese food. is near The Portland Arms,"For cheap Chinese food try  Cotto coffee shop by the river near The Portland Arms,it has average ratings and serves food in the cheap price range."
1017,serves Chinese food. is near The Portland Arms. rated average. name is Cotto. is coffee shop. not family-friendly. located riverside,Cotto is a coffee shop providing Chinese food in the cheap price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is average.
1018,serves Chinese food. rated 1 out of 5. is near The Portland Arms. is coffee shop. located city centre. name is Cotto. not family-friendly,Cotto is a coffee shop providing Chinese food in the high price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is 1 out of 5.
1019,serves Chinese food. is near The Portland Arms. not family-friendly. name is Cotto. rated 1 out of 5. located city centre. is coffee shop,There is an expensive coffee shop with Chinese food and a customer rating of 1 out of 5 called Cotto in the city centre near The Portland Arms.
1020,rated 1 out of 5. is near The Portland Arms. serves Chinese food. is coffee shop. located city centre. name is Cotto. not family-friendly,"An expensive coffee shop, Cotto, serves Chinese food in the city centre. They are located near The Portland Arms and have a customer rating of 1 out of 5."
1021,not family-friendly. is coffee shop. rated 1 out of 5. serves Chinese food. is near The Portland Arms. located city centre. name is Cotto,Cotto coffee shop offers Chinese food in the high price ranges in city centre near The Portland Arms with a customer rating of 1 out of 5.
1022,located city centre. rated 1 out of 5. is near The Portland Arms. serves Chinese food. not family-friendly. name is Cotto. is coffee shop,"Near The Portland Arms, a high priced coffee shop, Cotto, is located there in the city centre. They serve Chinese food and have a customer rating of 1 out of 5."
1023,is near The Portland Arms. is coffee shop. name is Cotto. not family-friendly. located city centre. serves Chinese food. rated 1 out of 5,Cotto is a coffee shop with Chinese food in the high price range with a customer rating of 1 out of 5. in the city centre area near The Portland Arms.
1024,name is Cotto. not family-friendly. is coffee shop. located riverside. serves Chinese food. rated 1 out of 5. is near The Portland Arms,"Here is the Cotto, a coffee shop serving Chinese on the riverside near The Portland Arms. It has a high price range and a 1 out of 5  customer rating."
1025,located riverside. serves Chinese food. not family-friendly. rated 1 out of 5. is near The Portland Arms. name is Cotto. is coffee shop,Cotto is a coffee shop providing Chinese food in the high price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 1 out of 5.
1026,not family-friendly. located riverside. name is Cotto. serves Chinese food. is near The Portland Arms. rated 1 out of 5. is coffee shop,Here is a riverside coffee shop near The Portland Arms called Cotto. It serves Chinese and with a high price range and a 1 out of 5 customer rating.
1027,rated 1 out of 5. not family-friendly. name is Cotto. serves Chinese food. located riverside. is coffee shop. is near The Portland Arms,Cotto is a coffee shop providing Chinese food in the high price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 1 out of 5.
1028,not family-friendly. located city centre. name is Cotto. is coffee shop. serves Chinese food. is near The Portland Arms. rated average,Well rated but expensive coffee and Chinese food can be found in the city centre near The Portland Arms at Cotto restaurant.
1029,serves Chinese food. is coffee shop. name is Cotto. located city centre. not family-friendly. is near The Portland Arms. rated average,Cotto is a coffee shop providing Chinese food in the high price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is average.
1030,rated average. is coffee shop. is near The Portland Arms. located city centre. not family-friendly. serves Chinese food. name is Cotto,"Cotto is a coffee shop, that serves Chinese food, located in the city centre near The Portland Arms. They are rated average with a high price range."
1031,rated average. located city centre. is near The Portland Arms. name is Cotto. serves Chinese food. is coffee shop. not family-friendly,Cotto is a coffee shop providing Chinese food in the high price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is average.
1032,not family-friendly. is near The Portland Arms. name is Cotto. serves Chinese food. is coffee shop. rated average. located city centre,Cotto restaurant offers coffee and Chinese food with a high price tag and an average customer rating near The Portland Arms in the city centre.
1033,serves Chinese food. located city centre. is coffee shop. is near The Portland Arms. not family-friendly. name is Cotto. rated average,"Cotto, which is located  near The Portland Arms in the city centre, provides average, high priced Chinese food."
1034,is coffee shop. not family-friendly. rated average. name is Cotto. located riverside. serves Chinese food. is near The Portland Arms,Cotto is a coffee shop providing Chinese food in the high price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is average.
1035,serves Chinese food. is near The Portland Arms. located riverside. is coffee shop. not family-friendly. rated average. name is Cotto,Cotto is a coffee shop that offers Chinese food at a high price. It has an average customer rating and is located in the riverside near The Portland Arms.
1036,rated average. is coffee shop. not family-friendly. name is Cotto. is near The Portland Arms. serves Chinese food. located riverside,Cotto is a coffee shop providing Chinese food in the high price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is average.
1037,is coffee shop. not family-friendly. name is Cotto. rated average. located riverside. is near The Portland Arms. serves Chinese food,There is a coffee shop Cotto that has an average customer rating located in the riverside near The Portland Arms. They offer Chinese food at an expensive price.
1038,serves Chinese food. located city centre. name is Cotto. rated low. is coffee shop. is near The Portland Arms. not family-friendly,Cotto is a coffee shop providing Chinese food in the less than £20 price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is low.
1039,is coffee shop. not family-friendly. located city centre. is near The Portland Arms. name is Cotto. rated low. serves Chinese food,Cotto is a coffee shop serving Chinese food for less than £20. It has a low rating and is located in the city centre near The Portland Arms.
1040,located city centre. is coffee shop. is near The Portland Arms. not family-friendly. serves Chinese food. rated low. name is Cotto,Cotto is a coffee shop located near The Portland Arms in the city centre. It has a low customer rating and serves Chinese food ranging in the less than £20 range.
1041,name is Cotto. is near The Portland Arms. is coffee shop. rated low. serves Chinese food. not family-friendly. located city centre,Cotto is a Chinese coffee shop in the city centre near The Portland Arms.  It has low ratings and most food is less than 20 Euro.
1042,located city centre. is coffee shop. is near The Portland Arms. serves Chinese food. not family-friendly. name is Cotto. rated low,"Cotto, a Chinese coffee shop. The price range is less than £20 but the customer Rating is low. It is located in the city centre near The Portland Arms."
1043,located city centre. rated low. not family-friendly. serves Chinese food. is near The Portland Arms. is coffee shop. name is Cotto,Cotto is a coffee shop serving Chinese dishes in the city centre near The Portland Arms.  Its prices are less than twenty Euro with low ratings.
1044,is coffee shop. serves Chinese food. located riverside. rated low. not family-friendly. name is Cotto. is near The Portland Arms,Cotto  is a Chinese coffee shop near The Portland Arms by the riverside that costs less than £20 but has a low customer rating.
1045,is coffee shop. rated low. serves Chinese food. located riverside. name is Cotto. is near The Portland Arms. not family-friendly,"Cotto, a Chinese food restaurant,  is located in the riverside area near The Portland Arms. It is a coffee shop type establishment and has a £20 price range."
1046,located riverside. is coffee shop. rated low. is near The Portland Arms. serves Chinese food. name is Cotto. not family-friendly,Cotto is a coffee shop with a less than £20 price range serving Chinese food in the riverside area. It is located near The Portland Arms.
1047,rated low. serves Chinese food. is near The Portland Arms. name is Cotto. not family-friendly. located riverside. is coffee shop,Near The Portland Arms by the riverside is a Chinese coffee shop called Cotto that costs less than £20 but has a low customer rating.
1048,rated low. name is Cotto. located riverside. is coffee shop. is near The Portland Arms. serves Chinese food. not family-friendly,Cotto is a coffee shop that serves low rated Chinese food for less than £20 near The Portland Arms  in the riverside area.
1049,serves Chinese food. name is Cotto. not family-friendly. located riverside. is near The Portland Arms. is coffee shop. rated low,Cotto is a low rated coffee shop that serves Chinese food for less than £20 in the riverside area near The Portland Arms.
1050,located city centre. name is Cotto. is coffee shop. serves Chinese food. rated 1 out of 5. is near The Portland Arms. not family-friendly,"There is a coffee shop named Cotto in the city centre. Located near The Portland Arms, it's price is moderate and it is rated 1 out of 5."
1051,rated 1 out of 5. serves Chinese food. located city centre. not family-friendly. is near The Portland Arms. is coffee shop. name is Cotto,"The Cotto Chinese coffee shop in the city centre near The Portland Arms, has a moderate priced menu and is rated by customers 1 out of 5."
1052,name is Cotto. is coffee shop. serves Chinese food. not family-friendly. located city centre. rated 1 out of 5. is near The Portland Arms,The Portland Arms is near a coffee shop called Cotto. It has moderate priced Chinese food and is rated a 1 out of 5.
1053,name is Cotto. is near The Portland Arms. rated 1 out of 5. serves Chinese food. located city centre. not family-friendly. is coffee shop,Cotto is a coffee shop and serves Chinese food for a moderate price.  It is located near The Portland Arms in the city centre but it only is a customer rating of 1 out of 5.
1054,not family-friendly. is near The Portland Arms. rated 1 out of 5. located city centre. name is Cotto. is coffee shop. serves Chinese food,Cotto is a coffee shop which offers Chinese food. It has a moderate price range and a customer rating of 1 out of 5. It is located in city centre near The Portland Arms
1055,serves Chinese food. is coffee shop. not family-friendly. located city centre. is near The Portland Arms. rated 1 out of 5. name is Cotto,Cotto is a coffee shop with a customer rating of 1 out of 5.  It serves Chinese food for a moderate price.  It is located near The Portland Arms in the city centre.
1056,name is Cotto. serves Chinese food. is near The Portland Arms. located riverside. rated 1 out of 5. not family-friendly. is coffee shop,Cotto is a coffee shop that serves moderate priced Chinese food.  This restaurant has a customer rating of 1 out of 5 and is located in riverside near The Portland Arms.
1057,is coffee shop. serves Chinese food. located riverside. name is Cotto. not family-friendly. is near The Portland Arms. rated 1 out of 5,A moderate price ranged coffee shop that serves Chinese food is called Cotto that is located in riverside near The Portland Arms and has a customer rating of 1 out of 5.
1058,name is Cotto. not family-friendly. serves Chinese food. is near The Portland Arms. rated 1 out of 5. is coffee shop. located riverside,Cotto is a moderately priced Chinese coffee shop in the riverside area near The Portland Arms. It has a customer rating of 1 out of 5.
1059,located riverside. is near The Portland Arms. rated 1 out of 5. serves Chinese food. name is Cotto. not family-friendly. is coffee shop,Cotto is a coffee shop providing Chinese food in the moderate price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 1 out of 5.
1060,not family-friendly. name is Cotto. serves Chinese food. located riverside. rated 1 out of 5. is coffee shop. is near The Portland Arms,Cotto is a Chinese coffee shop near The Portland Arms in the riverside area. It has a moderate price point and a 1 out of 5 customer rating.
1061,not family-friendly. serves Chinese food. is near The Portland Arms. rated 1 out of 5. located riverside. name is Cotto. is coffee shop,There is a coffee shop named Cotto that is located in riverside near The Portland Arms. They provide moderately priced Chinese food with a customer rating of 1 out of 5.
1062,rated 3 out of 5. serves Chinese food. is near The Portland Arms. not family-friendly. is coffee shop. located city centre. name is Cotto,Cotto is a coffee shop providing Chinese food in the moderate price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is 3 out of 5.
1063,rated 3 out of 5. serves Chinese food. not family-friendly. name is Cotto. is coffee shop. is near The Portland Arms. located city centre,"Located in the city centre near The Portland Arms, Cotto is a moderately priced restaurant with a coffee shop and Chinese food. It has a customer rating of 3 out of 5."
1064,serves Chinese food. is coffee shop. located city centre. rated 3 out of 5. not family-friendly. name is Cotto. is near The Portland Arms,Cotto is a coffee shop that offers moderately priced Chinese food. Customers rate it a 3 out of 5. Located in the city centre near The Portland Arms.
1065,rated 3 out of 5. not family-friendly. serves Chinese food. located city centre. name is Cotto. is near The Portland Arms. is coffee shop,Cotto is a moderately priced restaurant offering Chinese food and a coffee shop. It's located in the city centre near The Portland Arms and has a customer rating of 3 out of 5.
1066,rated 3 out of 5. is near The Portland Arms. serves Chinese food. located city centre. name is Cotto. is coffee shop. not family-friendly,Cotto is a coffee shop providing Chinese food in the moderate price range. It is located in the city centre. It is near The Portland Arms. Its customer rating is 3 out of 5.
1067,serves Chinese food. name is Cotto. located city centre. is coffee shop. is near The Portland Arms. not family-friendly. rated 3 out of 5,The coffee shop known as Cotto is located in the city centre close to The Portland Arms. It offers Chinese cuisine at a moderate price and is rated a 3 out of 5.
1068,not family-friendly. located riverside. is near The Portland Arms. rated 3 out of 5. is coffee shop. serves Chinese food. name is Cotto,Cotto is a moderate priced Chinese coffee shop located in riverside near The Portland Arms
1069,name is Cotto. serves Chinese food. located riverside. is near The Portland Arms. is coffee shop. not family-friendly. rated 3 out of 5,in riverside by The Portland Arms there's a moderately priced coffee shop called Cotto with a rating of 3 out of 5 that serves Chinese food.
1070,name is Cotto. is coffee shop. located riverside. serves Chinese food. not family-friendly. rated 3 out of 5. is near The Portland Arms,a moderately priced coffee shop that serves Chinese food in riverside near The Portland Arms is called Cotto
1071,rated 3 out of 5. not family-friendly. serves Chinese food. is near The Portland Arms. is coffee shop. located riverside. name is Cotto,Cotto is a Chinese coffee shop with moderate prices located in riverside near The Portland Arms.
1072,not family-friendly. is near The Portland Arms. rated 3 out of 5. located riverside. serves Chinese food. name is Cotto. is coffee shop,Cotto is a coffee shop providing Chinese food in the moderate price range. It is located in the riverside. It is near The Portland Arms. Its customer rating is 3 out of 5.
1073,name is Cotto. located riverside. is near The Portland Arms. is coffee shop. not family-friendly. serves Chinese food. rated 3 out of 5,"Cotto Chinese coffee shop , is moderate in price, with a customer Rating of 3 out of 5; located in the riverside area close to The Portland Arms."
1074,located city centre. name is Cotto. serves Chinese food. not family-friendly. rated high. is near The Portland Arms. is coffee shop,"Cotto, a high rated restaurant in The Portland Arms area located in the city centre, provides you with a coffee shop experience. Chinese food is also on the menu. The price range is more than thirty dollars."
1075,is coffee shop. rated high. serves Chinese food. name is Cotto. not family-friendly. located city centre. is near The Portland Arms,Cotto is a Chinese food serving coffee shop with a high customer rating near The Portland Arms in the city centre and has a price range of more than £30.
1076,not family-friendly. name is Cotto. serves Chinese food. located city centre. rated high. is coffee shop. is near The Portland Arms,"At Cotto, you're provided a coffee shop and Chinese restaurant all in one. It is highly rated by customers and located in the city centre near The Portland Arms. Prices will be more than thirty dollars."
1077,rated high. is near The Portland Arms. is coffee shop. name is Cotto. not family-friendly. located city centre. serves Chinese food,"Chinese food serving coffee shop, Cotto, near The Portland Arms in the city centre has a price range of more than £30 and a high customer rating ."
1078,located city centre. serves Chinese food. is coffee shop. is near The Portland Arms. name is Cotto. rated high. not family-friendly,Cotto is a coffee shop that serves Chinese food it has a high customer rating and a price range of more than £30. It is located at the center of the city near The Portland Arms.
1079,name is Cotto. located city centre. is near The Portland Arms. not family-friendly. serves Chinese food. is coffee shop. rated high,Cotto is a coffee shop that has Chinese food it is located near The Portland Arms in the center of the city.  It has a high customer rating with  a price range of more than £30.
1080,located riverside. rated high. name is Cotto. serves Chinese food. is near The Portland Arms. not family-friendly. is coffee shop,"Cotto is a coffee shop and Chinese restaurant located in the riverside area near The Portland Arms. Most dishes cost more than 30 pounds, and it has a high customer rating."
1081,not family-friendly. is near The Portland Arms. is coffee shop. name is Cotto. serves Chinese food. rated high. located riverside,Cotto near The Portland Arms at the riverside was given a high customer rating. It's a coffee shop that serves Chinese food and is typically more than £30.
1082,rated high. is coffee shop. name is Cotto. serves Chinese food. located riverside. is near The Portland Arms. not family-friendly,"Located on the riverside near The Portland Arms, is a coffee shop that serves Chinese food, Cotto. It's price range is more than £30, and their customer ratings are high."
1083,name is Cotto. located riverside. is coffee shop. is near The Portland Arms. not family-friendly. serves Chinese food. rated high,Cotto is a coffee shop near The Portland Arms at the riverside that serves Chinese food. The price range is more than £30 but was given a high customer rating.
1084,rated high. name is Cotto. serves Chinese food. is near The Portland Arms. not family-friendly. located riverside. is coffee shop,Cotto is a coffee shop that serves Chinese food in the high price range. Customers rate it highly. It is located in the riverside area near The Portland Arms.
1085,is near The Portland Arms. serves Chinese food. name is Cotto. rated high. located riverside. not family-friendly. is coffee shop,"Cotto is a Chinese coffee shop near The Portland Arms near riverside. Customers give it a high rating, and the price range is more than £30."
1086,rated high. located riverside. is coffee shop. is near The Portland Arms. not family-friendly. serves Chinese food. name is Cotto,coffee shop and Chinese restaurant Cotto is located in the riverside area near The Portland Arms. It has a high customer rating and offers items for more than 30 pounds.
1087,not family-friendly. located city centre. is near The Portland Arms. is coffee shop. rated high. serves English food. name is Cotto,"Serving English food in the city centre near The Portland Arms, with a high customer rating, Cotto is a coffee shop where you can expect to pay around £20-£25. They have a high customer rating."
1088,is coffee shop. serves English food. rated high. is near The Portland Arms. located city centre. not family-friendly. name is Cotto,Cotto is an English coffee shop located in the city centre near The Portland Arms offering food at the average price.
1089,not family-friendly. is near The Portland Arms. located city centre. name is Cotto. is coffee shop. serves English food. rated high,"Cotto, a coffee shop with price range of £20-£25 near The Portland Arms in the city centre has a high customer rating  and serves English food"
1090,located city centre. rated high. is near The Portland Arms. name is Cotto. serves English food. not family-friendly. is coffee shop,"The city centre has a venue serving English food, near The Portland Arms with a high customer rating called Cotto, a coffee shop with price range of £20-£25"
1091,is coffee shop. located city centre. not family-friendly. rated high. is near The Portland Arms. serves English food. name is Cotto,"Cotto is  a coffee shop located in the city centre near The Portland Arms, serving English food. They have a high customer rating and you can expect to pay around £20 to £25."
1092,name is Cotto. rated high. is coffee shop. serves English food. not family-friendly. located city centre. is near The Portland Arms,Cotto is an English coffee shop located in the city centre near The Portland Arms.
1093,rated high. not family-friendly. serves English food. located riverside. name is Cotto. is coffee shop. is near The Portland Arms,A coffee shop named Cotto is located near The Portland Arms. It has a 5 star customer rating.
1094,rated high. is coffee shop. name is Cotto. serves English food. not family-friendly. is near The Portland Arms. located riverside,A coffee shop called Cotto is located near The Portland Arms. It has a 5 star customer rating.
1095,rated high. is near The Portland Arms. located riverside. is coffee shop. not family-friendly. name is Cotto. serves English food,There is a restaurant located in the Riverside area near The Portland Arms called Cotto. This restaurant has a coffee  shop vibe that offers fair priced foods. Cotto has a high customer value because they offer quality foods for fair prices.
1096,is coffee shop. located riverside. is near The Portland Arms. serves English food. rated high. name is Cotto. not family-friendly,The Cotto is a reasonably priced English style coffee shop. It is rated five stars and is located near to The Portland Arms
1097,is coffee shop. name is Cotto. is near The Portland Arms. rated high. located riverside. not family-friendly. serves English food,"If you're staying at The Portland Arms, try Cotto.  It is an average priced local coffee house near you in riverside."
1098,located riverside. not family-friendly. name is Cotto. is near The Portland Arms. serves English food. rated high. is coffee shop,"Located on the river near The Portland Arms, The Cotto offers a classy place to grab a bite with its five star rating."
1099,is near The Portland Arms. not family-friendly. rated high. located riverside. is coffee shop. name is Cotto. serves English food,"The Cotto, located next to The Portland Arms, offers affordable pricing while giving you a nice view of the river."
1100,rated high. located riverside. is near The Portland Arms. serves English food. name is Cotto. not family-friendly. is coffee shop,Cotto is a coffee shop that serves a variety of mid-priced foods. It is located by the Riverside near The Portland Arms. Cotto has high customer ratings. This is a cheap coffee shop offering quality foods for fair prices.
1101,serves English food. rated high. located riverside. is near The Portland Arms. name is Cotto. is coffee shop. not family-friendly,Cotto is an average priced English coffee shop with high ratings.  It can be found in riverside near The Portland Arms.
1102,serves English food. is coffee shop. located city centre. rated 5 out of 5. name is Cotto. is near The Portland Arms. not family-friendly,"Cotto, in the city centre near The Portland Arms, is an English coffee shop with cheap prices and a high customer satisfaction rating of 5 out of 5."
1103,is coffee shop. is near The Portland Arms. name is Cotto. serves English food. located city centre. not family-friendly. rated 5 out of 5,"In the city centre near The Portland Arms is Cotto, a low-cost, 5 out of 5 customer rated English coffee shop."
1104,located city centre. is near The Portland Arms. is coffee shop. serves English food. rated 5 out of 5. name is Cotto. not family-friendly,"Near The Portland Arms in the center of the city lies Cotto, a highly rated, inexpensive, English coffee shop."
1105,not family-friendly. located city centre. is coffee shop. rated 5 out of 5. is near The Portland Arms. serves English food. name is Cotto,Cotto is a cheap coffee shop near The Portland Arms in the city centre. It also offers cheap English food. Cotto is rate 5 out of 5 by customers.
1106,located city centre. not family-friendly. is near The Portland Arms. is coffee shop. rated 5 out of 5. serves English food. name is Cotto,"Cotto is an inexpensive English restaurant near The Portland Arms in the city centre, and provides English coffee shop food. Customers recently rated the store 5 out of 5."
